filter_name,score,avg_like,img1,img2,img3,img4
Normal,71,20,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312111_1455705501409606_678101195_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11372249_983047178380993_1231839219_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419270_1594197147527782_826254408_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380251_1702123480015370_154449753_n.jpg
Moon,3,19,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11328285_988042701206323_1217440278_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11328285_988042701206323_1217440278_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11353034_595053557300908_1659532506_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417245_1432487183726185_87725955_n.jpg,
Mayfair,3,27,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327159_1410420879284712_890848735_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327159_1410420879284712_890848735_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280144_885890171499663_1576264495_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372032_1661391984095079_1710654970_n.jpg,
Crema,2,62,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313726_713480452131388_255831839_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313726_713480452131388_255831839_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355763_489907647829178_1227672995_n.jpg,,
