wordlist,countlist,maxlike,totallike,avelike
webstagram,17,92,406,23
photoofday,2,9,16,8
instafollow,26,67,514,19
all_shots,20,177,714,35
iaddict,2,9,16,8
editorial,7,37,165,23
tweegram,21,121,582,27
bepopular,2,9,16,8
superfunny,1,12,12,12
astorcafe,1,12,12,12
intelligent,2,107,119,59
newfriendships,2,12,22,11
lovelyladies,1,12,12,12
gorg,1,12,12,12
stylish,5,54,159,31
dogs,2,154,171,85
dogoftheday8,1,17,17,17
istaphoto,1,17,17,17
instalove,15,214,556,37
instadog,4,154,262,65
artdog,1,17,17,17
istapic,1,17,17,17
dogoftheweek,1,17,17,17
bigtruffle,1,17,17,17
dogoftheday,2,41,58,29
istalove,1,17,17,17
bau,1,17,17,17
dogofday,1,17,17,17
instaday,3,21,49,16
cooldog,1,17,17,17
instadogs,2,17,25,12
pictureoftheday,5,24,85,17
instanimal,1,17,17,17
dogofig,1,17,17,17
instanimals,1,17,17,17
bignose,1,17,17,17
istaday,1,17,17,17
dogofthedayjp,1,17,17,17
rolex6238,1,21,21,21
rarerolex,2,82,103,51
lovewatches,3,84,187,62
rolexero,2,82,103,51
rolexforums,2,82,103,51
rolexpassion,2,82,103,51
watchporn,3,84,187,62
montre,3,84,187,62
vintagerolexforum,2,82,103,51
horology,3,84,187,62
rarewatch,3,84,187,62
rolexlover,1,21,21,21
vintagerolex,2,82,103,51
watchgeek,3,84,187,62
rolexporn,2,82,103,51
wruw,3,84,187,62
whatchs,3,84,187,62
wristporn,2,84,105,52
womw,4,84,218,54
mondani,3,84,187,62
watchs,3,84,187,62
predaytona,1,21,21,21
dailywatch,3,84,187,62
wristshot,2,84,105,52
vintagewatch,3,84,187,62
rolexheritage,2,82,103,51
teamwatchanish,3,84,187,62
rolexhistory,2,82,103,51
rolexvintage,2,82,103,51
6238,1,21,21,21
beautifulcity,2,68,79,39
dontwanttoleave,2,24,35,17
night,81,1197,3072,37
nofilter,57,1605,3371,59
rouge,2,12,18,9
montecarlo,1,6,6,6
alfaromeo,1,6,6,6
monaco,4,29,59,14
discovereurope,1,46,46,46
discoveritaly,1,46,46,46
whatisthehashtag,1,46,46,46
siena,1,46,46,46
clouds,10,1197,1520,152
horizon,3,74,121,40
color,12,337,669,55
sky,26,1197,1975,75
isea_sunsets,1,32,32,32
sol,3,32,70,23
instasunsets,1,32,32,32
sunrays,1,32,32,32
scenicsunset,1,32,32,32
morning,24,154,936,39
pink,14,118,576,41
all_sunsets,1,32,32,32
silhouette,2,186,218,109
cloudporn,6,128,294,49
sun,13,105,498,38
skyporn,4,64,150,37
irox_skyline,1,32,32,32
ig_sunsetshots,1,32,32,32
instasky,1,32,32,32
pretty,22,250,874,39
gorgeous,7,215,371,53
orange,4,41,88,22
red,16,73,471,29
sonjamoonear,1,40,40,40
fortezza,2,40,56,28
nextech,1,40,40,40
ricardovillalobos,1,40,40,40
nextechplus,1,40,40,40
ilritorno,1,40,40,40
number8377,1,32,32,32
solosorrisi,1,32,32,32
thecolorrunfirenze,2,32,58,29
solocolori,1,32,32,32
friend,17,70,400,23
dreaming,1,39,39,39
travelbug,3,39,85,28
leftmyheartthere,1,39,39,39
thecolorrun,2,18,28,14
sister,6,53,156,26
villalobos,2,16,32,16
ricardo,2,16,32,16
southfrance,1,174,174,174
cannesfilmfestival,3,174,333,111
cannes2015,3,174,333,111
crazyloc,1,174,174,174
hipowerent,1,174,174,174
hipower,1,174,174,174
イタリア,3,35,47,15
cannes,9,151,547,60
instagram,22,305,1598,72
run,6,68,223,37
cascine,1,38,38,38
belgianjokes,1,26,26,26
englishidioms,1,26,26,26
everyonelovestaylorswift,1,26,26,26
lights,6,1197,1316,219
dance,25,242,920,36
music,65,308,2429,37
partner,2,100,116,58
crime,1,16,16,16
takemeback,7,47,130,18
contikikel,2,7,14,7
david,1,7,7,7
eupanorama,2,7,14,7
travelling,16,41,439,27
holidays,17,1197,1593,93
contiki,3,321,335,111
luxe,1,22,22,22
luxurytravel,2,255,277,138
hotel,3,95,127,42
traveldeeper,2,22,31,15
instatbn,1,22,22,22
ddinitaly,1,22,22,22
luxelife,1,22,22,22
redpassion,1,16,16,16
