wordlist,countlist,maxlike,totallike,avelike
hitoor,1,7,7,7
hawaiianairlines,1,7,7,7
nevergonnaeatagain,1,15,15,15
needajuicecleanseafterthistrip,1,15,15,15
6coursemeal,1,15,15,15
goodidea,1,9,9,9
badidea,1,9,9,9
nevillelongbottom,1,4,4,4
matthewlewis,1,4,4,4
voldemort,1,4,4,4
hot,3,106,118,39
sexy,2,24,28,14
thunderisland,1,4,4,4
nofilter,2,7,11,5
exploreoregon,1,4,4,4
gorgenation,1,4,4,4
simonpegg,1,1,1,1
uk,1,1,1,1
hp,3,6,10,3
jimmyfallon,1,1,1,1
worktravel,1,5,5,5
westtoeast,1,5,5,5
portofportland,1,5,5,5
hers,1,10,10,10
his,1,10,10,10
fashion,2,64,67,33
hermionegranger,1,3,3,3
books,2,6,9,4
hermione,1,3,3,3
dress,1,3,3,3
emmawatson,1,3,3,3
obx,1,4,4,4
dobby,1,6,6,6
reading,1,6,6,6
createyourhappiness,1,4,4,4
summer,3,25,37,12
feelsgood,1,4,4,4
welcome,1,4,4,4
june,1,4,4,4
summerweekends,1,4,4,4
latourellfalls,1,15,15,15
dogochasingwaterfalls,1,15,15,15
comingsoon,1,19,19,19
kale,1,19,19,19
juicedpdx,1,19,19,19
vegan,2,51,70,35
juice,1,19,19,19
cleaneating,3,138,176,58
mint,1,19,19,19
juiced,1,19,19,19
blueberries,1,19,19,19
raw,1,19,19,19
smoothie,1,19,19,19
healthy,1,19,19,19
health,1,19,19,19
foodstyling,1,19,19,19
pineapple,1,19,19,19
rawfood,1,19,19,19
wearejordan,1,34,34,34
todayskicks,1,34,34,34
wdywt,1,34,34,34
soletoday,1,34,34,34
harejordan,1,34,34,34
foe,1,51,51,51
blood,1,51,51,51
lovehim,2,178,206,103
prom2k15,1,178,178,178
viewfromtodaysevent,1,14,14,14
comics,1,5,5,5
batman,1,5,5,5
harleyquinn,1,5,5,5
batmanandrobin,1,5,5,5
dccomics,1,5,5,5
portlandchicks,1,5,5,5
cosmicmonkeycomicshop,1,5,5,5
comicbooks,1,5,5,5
jonathancrane,1,5,5,5
adeathinthefamily,1,5,5,5
scarecrow,1,5,5,5
frenchielove,1,32,32,32
dogsofinstagram,1,32,32,32
bedhog,1,32,32,32
