wordlist,countlist,maxlike,totallike,avelike
attheflynn,1,12,12,12
dailypic,1,11,11,11
usa,2,16,27,13
traveler,1,11,11,11
instalike,1,11,11,11
travel,4,44,107,26
us,1,11,11,11
fortethanallen,1,9,9,9
chevrolet,1,9,9,9
fridaynightfun,1,9,9,9
friday,1,9,9,9
nightlife,1,9,9,9
fun,2,64,73,36
802,6,80,221,36
weretheonlypeoplehere,1,8,8,8
colchesterisapartytown,1,8,8,8
yolo,1,8,8,8
nightoff,1,8,8,8
gettingpaidtoexercise,1,7,7,7
legsaredead,1,7,7,7
champlain,1,12,12,12
waterfront,1,12,12,12
lake,4,44,106,26
fiveyearreunion,1,3,3,3
saintmikes2010,1,3,3,3
whaletails,1,13,13,13
sculpture,1,13,13,13
graduation,1,13,13,13
gouldacademy,1,13,13,13
frozen,1,14,14,14
moviecaption,1,14,14,14
likeformore,2,17,31,15
hilarious,1,14,14,14
hswalk,1,39,39,39
playground,1,39,39,39
lookmanofeet,1,39,39,39
cvcf,1,39,39,39
obstaclecourse,1,39,39,39
partytricks,1,39,39,39
wanderlust,3,44,85,28
beauty,7,44,161,23
shelburn,2,9,18,9
explore,2,60,69,34
vermontfun,1,9,9,9
beautifulday,2,44,53,26
nature,7,44,170,24
lakechamplain,3,67,120,40
tm,1,93,93,93
davethetm,1,93,93,93
th406,1,12,12,12
steak,1,24,24,24
juicy,1,24,24,24
16oz,1,24,24,24
silhouette,1,5,5,5
photo,2,64,69,34
sky,2,41,46,23
shopped,1,5,5,5
skyline,1,5,5,5
hell,1,5,5,5
boysnightout,1,5,5,5
farmersmarket,2,47,62,31
weddingphotography,1,11,11,11
scvisuals,1,11,11,11
bakerwedding,1,11,11,11
weddings,1,11,11,11
canon,1,11,11,11
portraits,1,11,11,11
vtphotographer,1,11,11,11
bendthemind,1,11,11,11
kenziezieqxogiveaway,1,124,124,124
giveaway,1,124,124,124
hunterthepinknostrilterrier,1,29,29,29
uvm,1,29,29,29
winemurder,1,17,17,17
