wordlist,countlist,maxlike,totallike,avelike
browneyes,1,2,2,2
redlips,1,2,2,2
nurturevoxbox,1,0,0,0
influenster,1,0,0,0
catstagram,1,15,15,15
meow,1,15,15,15
catsofinstagram,1,15,15,15
sleepy,1,15,15,15
instagood,3,125,150,50
cats,1,15,15,15
opheliathecat,1,15,15,15
fuzzy,1,15,15,15
instadaily,1,15,15,15
cat,1,15,15,15
sleepycat,1,15,15,15
cousins,1,11,11,11
bestday,1,11,11,11
babyaveryfairy,1,11,11,11
dancemoms,2,27,35,17
textposts,1,27,27,27
talktome,1,27,27,27
behappy,1,27,27,27
algebrahelp,1,27,27,27
makeup,2,27,47,23
patd,1,27,27,27
onedirection,1,27,27,27
funny,4,125,165,41
school,1,27,27,27
textpost,1,27,27,27
fivesecondsofsummer,1,27,27,27
lukehemmings,1,27,27,27
falloutboy,1,27,27,27
marianastrench,1,27,27,27
dance,1,27,27,27
iloveyou,1,27,27,27
harrystyles,1,27,27,27
1d,1,27,27,27
5sos,1,27,27,27
imsick,1,27,27,27
lebronjames,1,4,4,4
cavaliers,1,4,4,4
jeep,3,17,47,15
cherokee,1,17,17,17
stuckasfuck,1,17,17,17
xj,1,17,17,17
porkchop,1,4,4,4
sundayfunday,1,4,4,4
eatittobeatit,1,18,18,18
bulimiarecovery,1,18,18,18
balancednotclean,1,18,18,18
anorexiarecovery,1,18,18,18
fuelthesoul,1,18,18,18
nourishnotpunish,1,18,18,18
foodisfuel,1,18,18,18
orthorexiarecovery,1,18,18,18
foodstagram,2,17,33,16
dinner,1,16,16,16
comfortfood,1,16,16,16
eatme,2,17,33,16
foodporn,2,17,33,16
chicken,1,16,16,16
nofilter,1,11,11,11
dogsofinstagram,2,17,28,14
sunworship,1,11,11,11
yorkielife,1,11,11,11
yorkie,1,11,11,11
unfilteredperfection,1,11,11,11
crazy,1,10,10,10
instahappy,1,10,10,10
joking,1,10,10,10
lmfao,1,10,10,10
haha,1,10,10,10
wacky,1,10,10,10
funnypictures,2,10,13,6
instafun,1,10,10,10
laugh,1,10,10,10
witty,1,10,10,10
friends,4,34,71,17
lmao,1,10,10,10
humor,1,10,10,10
like,1,10,10,10
joke,1,10,10,10
lol,1,10,10,10
