ID,Created At,Filter,Number of Likes,HashTags,url
1002512989018569295_1426012733,2015-06-08 02:01:22,Normal,116,"[Tag: cute, Tag: weeklyfluff, Tag: dailypup, Tag: corgipuppy, Tag: dailypuppy, Tag: buzzfeedanimals, Tag: dog_features, Tag: pembrokewelshcorgi, Tag: happy_pet, Tag: corgicommunity, Tag: petboxpetoftheweek, Tag: corgination, Tag: corgilove, Tag: corgisinstagram, Tag: instadog, Tag: doglover, Tag: ilovemydog, Tag: instagramcorgis, Tag: showcasing_pets, Tag: corgisarelove, Tag: f4f, Tag: corgi, Tag: puppy, Tag: corgiaddict, Tag: pwc]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376045_368071343396390_1371155359_n.jpg
1002511747219912434_1453373260,2015-06-08 01:58:54,Normal,6,"[Tag: maine, Tag: newengland]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11334500_740432942746038_1514863592_n.jpg
1002509879446385180_1371878627,2015-06-08 01:55:12,Normal,16,"[Tag: crystallove, Tag: crystaljewelry, Tag: aventurine, Tag: handmadejewelry, Tag: crystalgrid, Tag: repost, Tag: bloodstone, Tag: amethyst]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378556_1598234003758554_1556723762_n.jpg
1002507214537349886_224839341,2015-06-08 01:49:54,Normal,5,"[Tag: fridakahlo, Tag: wcw, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428179_872804186124063_1282665558_n.jpg
1002506636587424488_224839341,2015-06-08 01:48:45,Normal,0,[Tag: repost],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420422_1621137684794509_1648338197_n.jpg
1002502806390884775_183944273,2015-06-08 01:41:08,Normal,16,"[Tag: nh, Tag: summer, Tag: scenery, Tag: sunset, Tag: mountains]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420817_1650094275211523_2099258487_n.jpg
1002494061693286503_1426012733,2015-06-08 01:23:46,Normal,129,"[Tag: cute, Tag: weeklyfluff, Tag: dailypup, Tag: corgipuppy, Tag: dailypuppy, Tag: buzzfeedanimals, Tag: dog_features, Tag: pembrokewelshcorgi, Tag: happy_pet, Tag: corgicommunity, Tag: petboxpetoftheweek, Tag: corgination, Tag: corgilove, Tag: corgisinstagram, Tag: instadog, Tag: doglover, Tag: ilovemydog, Tag: instagramcorgis, Tag: showcasing_pets, Tag: corgisarelove, Tag: f4f, Tag: corgi, Tag: puppy, Tag: corgiaddict, Tag: pwc]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312149_369936749870795_2144533762_n.jpg
1002492531593304357_21971653,2015-06-08 01:20:44,Normal,16,"[Tag: vintage, Tag: btv]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327358_1484796318478150_929616080_n.jpg
1002483617034854079_196120182,2015-06-08 01:03:01,Juno,7,"[Tag: trellis, Tag: communitygarden, Tag: gardening, Tag: garden]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11424684_657777694365801_676748634_n.jpg
1002480023212776165_182245373,2015-06-08 00:55:53,Normal,1,[Tag: vermont],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11356481_421229431382472_885412745_n.jpg
1002476731020757796_1479896425,2015-06-08 00:49:20,Normal,4,"[Tag: thelittlestmermaid, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/1527629_879938328746616_2069212393_n.jpg
1002476327587433240_1479896425,2015-06-08 00:48:32,Normal,2,"[Tag: kidandkind, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335504_424437044403488_800254029_n.jpg
1002476175664571243_31164567,2015-06-08 00:48:14,Perpetua,7,"[Tag: 🌾, Tag: whpmonochromatic, Tag: grass, Tag: outdoors]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380890_1676011945956196_602156937_n.jpg
1002473733761641195_1967670361,2015-06-08 00:43:23,Normal,5,"[Tag: igersabq, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333747_1408836462777109_385485846_n.jpg
1002473361500383969_1967670361,2015-06-08 00:42:38,Normal,8,"[Tag: nm, Tag: dukecity, Tag: igersabq, Tag: albuquerque, Tag: abq, Tag: repost, Tag: portrait, Tag: newmexico, Tag: 505, Tag: dukecityigers, Tag: peopleofabq]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325472_1596103520660863_959642407_n.jpg
1002472477710638154_1443935790,2015-06-08 00:40:53,Normal,13,"[Tag: purenm, Tag: nationaltrailsday, Tag: explorenm, Tag: travelnm, Tag: nmroadtrips, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330621_488237304659895_314613024_n.jpg
