filter_name，score，avg_like,img1,img2,img3,img4
Normal,124,28,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326857_964585376927682_784939213_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378345_385762734965620_842833798_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378757_1001714459884761_706309821_n.jpg,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10011285_1598749063698793_1977895388_n.jpg
Lark,13,158,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417290_714268768698692_1370046525_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380198_435683376603039_1567323570_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326717_1620174651559668_2080437200_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376575_109537522714989_1711942778_n.jpg
Sierra,5,24,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376042_527243454083100_351317573_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11356718_1483612108596389_1679747458_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326383_1758395911053600_1921360594_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11348407_857349484319331_1131667565_n.jpg
Juno,5,8,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356419_749862431797997_732081250_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11381024_645347688899324_1826604451_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378914_1590039234579742_1187240257_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351014_378735098990801_1263406159_n.jpg
Lo-fi,4,13,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372488_101590000182692_1455639975_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11328350_393173967549892_1594240307_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355012_394085240799010_2092389590_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327977_784454958339669_1631713034_n.jpg
Amaro,4,19,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426458_1127153027300107_1085357522_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374766_1651129035106094_81672995_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11423979_767789826675381_1339016942_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312531_1456079251353075_1352482565_n.jpg
Ludwig,4,33,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351556_663464083789830_2017959188_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355292_417586291754382_283178846_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11424677_376194599250951_1650213963_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11416892_391387444381993_1974875426_n.jpg
Crema,4,13,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11274386_1109932875688544_1551949050_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325182_1624345014474478_868342871_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11275150_1602027720072777_1929713939_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327204_1007398892612996_1255466520_n.jpg
Valencia,4,22,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11272932_1728658314028061_1483377411_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376650_429439537235686_1590524399_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324479_452630704903128_2001124025_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11351990_812942005469502_1041328977_n.jpg
Rise,4,20,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11313779_684962518276779_321799620_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11426666_699751356814328_1839276022_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373624_1456222318010150_250694864_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356450_1419015181755610_862497438_n.jpg
