filter_name,score,avg_like,img1,img2,img3,img4
Normal,112,48,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11282267_926252087432568_1243961855_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380092_1592263477679702_148344839_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378164_838758902876089_1175959089_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330660_1414484515544213_1140488660_n.jpg
Juno,11,14,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420784_485366188306681_1660945430_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419291_411106632402275_832768585_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11249189_1449919161969783_1794318076_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333729_1074946422534470_23060064_n.jpg
Rise,9,34,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419032_1134216829937414_445433840_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380154_1673397566215751_183553223_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326656_994819177204733_522359602_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378120_1614269922149475_1448772668_n.jpg
Lo-fi,6,18,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326782_1455458988085484_1416715874_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373534_863057377105783_1583485003_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376644_857087060994166_385224255_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280264_925291370827578_999692039_n.jpg
Reyes,6,7,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374711_856800027730067_1890192405_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11382920_1611240599133608_261309167_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11334418_1404274409901224_2078261918_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11430190_1441221252849412_661388860_n.jpg
Lark,5,18,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356381_1626134047602490_1108179884_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357696_970514952988088_1843403081_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380776_1513761042196722_711709522_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357587_831386546939760_647194020_n.jpg
X-Pro II,4,9,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11426447_422431231271889_900804927_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311659_483560398479531_1053448757_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326302_479049782251990_1039616636_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11296639_1007250479334296_1344894106_n.jpg
Ludwig,4,29,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335060_497585993722040_253963101_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11274421_1615064212107119_989620789_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420452_660607444070124_128335252_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379965_101029793571949_1662395482_n.jpg
Crema,4,28,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312441_1432686380386947_1561884037_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312377_1594527437481285_1796374060_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11334427_845608902175355_1496296244_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357933_1437284969913124_1578647354_n.jpg
